timestamp,inter_arrival,hop_valid,seq_delta,channel_index,payload_length,packet_rate_2s,seq_baseline_count,label
2025-11-24 15:38:22,0.050849,1,1,37,13,38,0,1
2025-11-24 15:38:22,0.050961,0,1,38,13,38,0,1
2025-11-24 15:38:22,0.086767,0,1,38,13,38,0,1
2025-11-24 15:38:22,0.052929,0,1,37,13,38,0,1
2025-11-24 15:38:22,0.051266,0,1,37,13,38,0,1
2025-11-24 15:38:22,0.051082,0,1,37,13,38,0,1
2025-11-24 15:38:23,0.050988,0,1,37,13,38,0,1
2025-11-24 15:38:23,0.051287,0,1,39,13,38,0,1
2025-11-24 15:38:23,0.051000,0,1,37,13,39,0,1
2025-11-24 15:38:23,0.051258,0,1,38,13,39,0,1
2025-11-24 15:38:27,4.429433,1,45,37,6,1,0,0
2025-11-24 15:38:27,0.052503,1,0,37,6,2,0,0
2025-11-24 15:38:27,0.051030,1,0,37,6,3,0,0
2025-11-24 15:38:27,0.051205,1,0,37,6,4,0,0
2025-11-24 15:38:27,0.051296,1,0,37,6,5,0,1
2025-11-24 15:38:27,0.051157,1,0,37,6,6,0,1
2025-11-24 15:38:27,0.051249,1,0,37,6,7,0,1
2025-11-24 15:38:27,0.072781,1,0,37,6,8,0,1
2025-11-24 15:38:28,0.056149,1,0,37,6,9,0,1
2025-11-24 15:38:28,0.050951,1,0,37,6,10,0,1
2025-11-24 15:38:28,0.051345,1,0,37,6,11,0,1
2025-11-24 15:38:28,0.051015,1,0,37,6,12,0,1
2025-11-24 15:38:28,0.051691,1,0,37,6,13,0,1
2025-11-24 15:38:28,0.051034,1,0,37,6,14,0,1
2025-11-24 15:38:28,0.051545,1,0,37,6,15,0,1
2025-11-24 15:38:28,0.051193,1,0,37,6,16,0,1
2025-11-24 15:38:28,0.051168,1,0,37,6,17,0,1
2025-11-24 15:38:28,0.051159,1,0,37,6,18,0,1
2025-11-24 15:38:28,0.051232,1,0,37,6,19,0,1
2025-11-24 15:38:28,0.051874,1,0,37,6,20,0,1
2025-11-24 15:38:28,0.051285,1,0,37,6,21,0,1
2025-11-24 15:38:28,0.051195,1,0,37,6,22,0,1
2025-11-24 15:38:28,0.051134,1,0,37,6,23,0,1
2025-11-24 15:38:28,0.051493,1,0,37,6,24,0,1
2025-11-24 15:38:28,0.051285,1,0,37,6,25,0,1
2025-11-24 15:38:28,0.051435,1,0,37,6,26,0,1
2025-11-24 15:38:28,0.051037,1,0,37,6,27,0,1
2025-11-24 15:38:29,0.051357,1,0,37,6,28,0,1
2025-11-24 15:38:29,0.051130,1,0,37,6,29,0,1
2025-11-24 15:38:29,0.051694,1,0,37,6,30,0,1
2025-11-24 15:38:29,0.051675,1,0,37,6,31,0,1
2025-11-24 15:38:29,0.051583,1,0,37,6,32,0,1
2025-11-24 15:38:29,0.051427,1,0,37,6,33,0,1
2025-11-24 15:38:29,0.051476,1,0,37,6,34,0,1
2025-11-24 15:38:29,0.051055,1,0,37,6,35,0,1
2025-11-24 15:38:29,0.051647,1,0,37,6,36,0,1
2025-11-24 15:38:29,0.051382,1,0,37,6,37,0,1
2025-11-24 15:38:29,0.051338,1,0,37,6,38,0,1
2025-11-24 15:38:29,0.051427,1,0,37,6,39,0,1
2025-11-24 15:38:29,0.051095,1,0,37,6,39,0,1
2025-11-24 15:38:29,0.051319,1,0,37,6,39,0,1
2025-11-24 15:38:29,0.051158,1,0,37,6,39,0,1
2025-11-24 15:38:29,0.051119,1,0,37,6,39,0,1
2025-11-24 15:38:29,0.051557,1,0,37,6,39,0,1
2025-11-24 15:38:29,0.051730,1,0,37,6,39,0,1
2025-11-24 15:38:29,0.082287,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.059481,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.052157,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051415,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051403,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051134,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051084,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051618,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051787,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051589,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051276,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051143,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051374,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051455,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.052060,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051293,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051660,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.050969,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051311,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051193,1,0,37,6,39,0,1
2025-11-24 15:38:30,0.051441,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.051270,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.051903,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.050807,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.052154,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.050413,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.051530,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.051282,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.050835,1,0,37,6,39,0,1
2025-11-24 15:38:31,0.078086,1,0,37,6,38,0,1
